Vrsta_studija,Studij,Godina_studija,Semestar,ISVU_sifra,Naziv,Nastavnici,ECTS,Obavezan
preddiplomski sveučilišni,Informacijski i poslovni studiji,1,1,47218,Engleski jezik 1,Kovačić Andreja,3,NE
preddiplomski sveučilišni,Informacijski i poslovni studiji,1,1,47214,Informatika 1,Balaban Igor Sobodić Aleksandra Zlatović Miran Filipović Danijel,6,DA
preddiplomski sveučilišni,Informacijski i poslovni studiji,1,1,47219,Matematika 1,Divjak Blaženka Erjavec Zlatko Jakuš Marija Klemenčić Damjan Laljek Mihaela Maretić Marcel,6,DA
preddiplomski sveučilišni,Informacijski i poslovni studiji,1,1,47222,Organizacija,Malbašić Ivan Jelaković Anamarija Posarić Nikolina Brčić Ruža,6,DA
preddiplomski sveučilišni,Informacijski i poslovni studiji,1,1,47229,Poslovno komuniciranje,Bubaš Goran Vidaček-Hainš Violeta Čižmešija Antonela Kutnjak Ana Plantak Vukovac Dijana,3,NE
preddiplomski sveučilišni,Informacijski i poslovni studiji,1,1,47222,Njemački jezik 1,Bunić Branko,3,NE
preddiplomski sveučilišni,Informacijski i poslovni studiji,1,1,95807,Tjelesna i zdravstvena kultura 1,Vučić Damir,0,DA
preddiplomski sveučilišni,Informacijski i poslovni studiji,1,1,47224,Osnove ekonomije,Detelj Kristina Konecki Irena Vuković Ksenija Bubanić Marijana Fojs Ivana Korent Dina Maurović Benko Željka Viljevac Marina,4,DA
preddiplomski sveučilišni,Informacijski i poslovni studiji,1,1,47227,Statistika,Dobša Jasminka Šimić Diana Buhin Pandur Maja,5,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,1,1,128638,Matematika za ekonomiste 1,Erjavec Zlatko Horvat Damir Jakuš Marija Žugec Bojan,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,1,1,128637,Osnove ekonomije,Vuković Ksenija Bubanić Marijana Detelj Kristina Konecki Irena Korent Dina Šmaguc Tamara,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,1,1,128643,Osnove poduzetništva,Detelj Kristina Kovšca Vladimir Fojs Ivana Novak Ema Konecki Irena Viljevac Marina,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,1,1,128641,Poslovno komuniciranje,Bubaš Goran Vidaček-Hainš Violeta Čižmešija Antonela Kućar Maja,6,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,1,1,128692,Tjelesna i zdravstvena kultura 1,Vučić Damir,1,DA
preddiplomski sveučilišni,Ekonomika poduzetništva,1,1,128640,Trgovačko pravo,Klačmer Čalopa Marina Horak Hana Šafranko Zvonimir Dumančić Kosjenka,6,DA
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93066,Analiza i razvoj programa,Stapić Zlatko Vrček Neven Tomaš Boris,6,NE
diplomski sveučilišni,Baze podataka i baze znanja,1,1,214595,Deklarativno programiranje,Schatten Markus Okreša Đurić Bogdan Peharda Tomislav,6,DA
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93105,Didaktika 1,Hajdin Goran,4,NE
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93106,Diskretne strukture s teorijom grafova,Divjak Blaženka Maretić Marcel Horvat Damir,6,NE
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93107,Korporacijsko upravljanje,Klačmer Čalopa Marina Đunđek Kokotec Ivana Kokot Karolina Cingula Marijan,5,NE
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93109,Opća pedagogija,Hajdin Goran Ninčević Marjan,4,NE
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93110,Operacijski sustavi 2,Ivković Nikola Magdalenić Ivan Milić Luka,5,NE
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93111,Organizacijska teorija,Fabac Robert Žajdela Hrustek Nikolina,4,NE
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93112,Osnovne opće i razvojne psihologije,Brajša-Žganec Andreja Zlatić Luka,5,NE
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93113,Primjene metode istraživanja u društvenim znanostima,Šimić Diana Gusić Jelena,4,NE
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93114,Računalom posredovana komunikacija,Bubaš Goran Čižmešija Antonela Konecki Mario Bosilj Neven Plantak Vukovac Dijana,4,NE
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93115,Sigurnosti informacijskih sustava,Grd Petra Tomičić Igor Bača Miroslav Gerić Sandro,5,DA
diplomski sveučilišni,Baze podataka i baze znanja,1,1,93116,Strategijski menadžment,Klačmer Čalopa Marina Đunđek Kokotec Ivana Kokot Karolina Cingula Marijan,4,NE
